SCHEMES,FUND NAME, A U M,LAUNCH DATE,1 DAY,7 DAY,15 DAY,30 DAY,3 MONTH,6 MONTH,1 YEAR,2 YEAR,3 YEAR,5 YEAR,7 YEAR,10 YEAR,15 YEAR,20 YEAR,25 YEAR,SINCE INCEPTION RETURN,FUND RAT,CATEGORY,CURRENT NAV,ALPHA,BETA,MEAN,STANDARD DEV,SHARPE RATIO,SORTI I NO,FUND MANAGER,AVG MAT,MODIFIED DURATION,YTM,PURCHASE MIN AMOUNT,SIP MIN AMOUNT,LARGE CAP,MID CAP,SMALL CAP,PB RATIO,PE RATIO,EXIT LOAD, EQUITY(%), DEBT(%), GOLD(%), GLOBAL EQUITY(%), OTHER(%),RS QUARD,EXPENSE RATIO,SOV,A,AA,AAA,BIG,CASH,DOWNSIDE DEVIATION,DOWNSIDE PROBABILITY
Aditya Birla SL Bal Bhavishya Yojna Reg (G),Aditya Birla Sun Life Mutual Fund,1189,11-02-2019,0.49,1.58,0.83,2.28,5.52,6.62,9.33,14.5,14.27,12.95,,,,,,11.19,2,Solution: Children Equity,20.63,-1.4,0.95,14.03,12.86,0.6,0.87,Chanchal Khandelwal,,,,0,500,58.55,7.84,32.03,3.12,23.53,0,98.42,1.58,0,0,0,,2.15,,,,,,1.58,,
Aditya Birla SL Balanced Advantage Fund (G),Aditya Birla Sun Life Mutual Fund,8617,25-04-2000,0.4,0.95,0.53,0.77,3.45,3.58,9.91,14.2,12.82,12.49,11.51,11.57,9.81,10.56,10.55,9.78,4,Hybrid: Balanced Advantage,109.1,1.07,0.76,12.48,7.35,0.85,1.28,Harish Krishnan,4.15,3.32,7.03,100,100,33.93,8.84,9.3,3.51,24.61,0.25% for redemption within 7 days,52.07,43.11,0,0,4.82,,1.77,6.82,,8.1,13.29,2.75,7.26,5.9726,41.8919
Aditya Birla SL Banking & PSU Debt Fund Reg (G),Aditya Birla Sun Life Mutual Fund,9241,24-04-2008,0,0.04,0.26,0.33,1.59,2.54,7.93,7.88,7.5,5.95,7.33,7.46,8.3,,,7.83,3,Debt: Banking and PSU,375.6178,5.76,2.74,7.32,1.13,0.93,1.37,Harshil Suvarnkar,5.14,3.84,6.85,1000,1000,0,0,0,0,0,0,0,100,0,0,0,,0.73,13.54,,,83.72,,2.74,1.4782,29.2011
Aditya Birla SL Banking and Financial Services Fund Reg (G),Aditya Birla Sun Life Mutual Fund,3606,14-12-2013,1.14,2.52,3.19,3.09,8.08,7.99,18.56,17.09,16.42,17.61,13.83,15.01,,,,16.85,2,Equity: Sectoral,64.64,4.11,0.92,15.86,13.02,0.74,1.63,Dhaval Gala,,,,1000,100,65.2,11.6,20.95,2.49,18.28,1% for redemption within 30 days,97.75,2.25,0,0,0,,1.97,,,,,,2.25,16.1738,43.9783
Aditya Birla SL BSE 500 Momentum 50 Index Fund (G),Aditya Birla Sun Life Mutual Fund,60,08-08-2025,0.94,0.86,0.9,-0.38,3.59,,,,,,,,,,,17.45,0,Equity: Index,10.5383,,,,,,,Priya Sridhar,,,,1000,1000,38.16,49.5,12.34,4.48,28.81,0.1% for redemption within 15 days,100,0,0,0,0,,1.07,,,,,,,,
Aditya Birla SL BSE 500 Quality 50 Index Fund (G),Aditya Birla Sun Life Mutual Fund,79,08-08-2025,0.73,1.25,1.05,0.28,5.11,,,,,,,,,,,18.69,0,Equity: Index,10.5746,,,,,,,Priya Sridhar,,,,500,500,43.6,45.17,11.09,8.83,24.55,0.1% for redemption within 15 days,99.86,0.14,0,0,0,,1.03,,,,,,0.14,,
Aditya Birla SL BSE India Infrastructure Index Fund Reg (G),Aditya Birla Sun Life Mutual Fund,32,04-12-2024,0.6,2.13,-0.92,-0.18,3.21,-0.02,-6.11,,,,,,,,,-6.06,0,Equity: Index,9.3887,,,,,,,Priya Sridhar,,,,500,500,66.22,12.73,20.97,2.54,17.95,0.05% for redemption within 30 days,99.92,0.08,0,0,0,,1.07,,,,,,0.08,,
Aditya Birla SL Business Cycle Fund Reg(G),Aditya Birla Sun Life Mutual Fund,1800,03-12-2021,0.52,1.23,0.45,0.84,5.62,4.56,7.29,16.45,13.7,,,,,,,11.73,0,Equity: Thematic,15.6,-1.64,0.96,13.96,12.9,0.6,0.93,Dhaval Gala,,,,500,100,52.71,19.23,27.51,3.84,28.17,1% for redemption within 30 days,97.58,0.55,0,1.87,0,,2.14,,,,,,0.35,,
Aditya Birla SL Conglomerate Reg (G),Aditya Birla Sun Life Mutual Fund,1763,27-12-2024,0.36,1.38,0.36,1.94,6.47,3.38,,,,,,,,,,10.76,0,Equity: Thematic,11.02,,,,,,,Harish Krishnan,,,,100,100,71.3,7.49,20.11,3.7,31.57,0.5% for redemption within 90 days,98.9,1.1,0,0,0,,2.05,,,,,,1.1,,
Aditya Birla SL Conservative Hybrid Active FOF Reg (G),Aditya Birla Sun Life Mutual Fund,16,09-05-2011,0.14,0.29,0.3,0.32,2.37,2.6,8.91,11.8,11.74,10.62,10.1,9.16,,,,8.91,0,Hybrid: Conservative,34.7572,1.4,1.15,11.43,4.54,1.14,1.71,Vinod Bhat,,,,500,100,14.53,6.23,3.1,3.28,21.72,1% for redemption within 365 days,23.86,76.14,0,0,0,,0.97,,,,,75.5,0.64,4.9531,43.3884
Aditya Birla SL Consumption Fund Reg (G),Aditya Birla Sun Life Mutual Fund,6363,05-08-2005,0.64,1.35,0.35,-0.91,3.55,3.93,7.88,15.26,15.26,18.24,16.2,15.56,15.39,16.15,,16.51,2,Equity: Thematic,221.77,-1.84,0.78,14.36,13.16,0.61,0.89,Chanchal Khandelwal,,,,1000,100,67.63,19.31,12.84,6.02,35.63,1% for redemption within 30 days,99.78,0.22,0,0,0,,1.82,,,,,,0.09,12.003,42.4899
Aditya Birla SL Corporate Bond Fund (G),Aditya Birla Sun Life Mutual Fund,30131,03-03-1997,0,0.08,0.34,0.34,1.61,2.36,7.96,8.21,7.84,6.34,7.68,7.67,8.28,8.23,8.43,8.89,4,Debt: Corporate Bond,115.5927,0.93,0.66,7.65,1.2,1.15,1.4,Kaustubh Gupta,7.23,4.91,7.01,100,100,0,0,0,0,0,0,0,100,0,0,0,,0.52,28.69,,,68.53,,2.78,1.1218,25.0689
Aditya Birla SL Credit Risk Fund (G),Aditya Birla Sun Life Mutual Fund,1073,17-04-2015,0.01,0.2,0.47,0.67,2.34,4.6,13.74,12.75,10.75,9.33,8.22,8.17,,,,8.21,1,Debt: Credit Risk,23.1616,7.33,1.91,10.31,2.47,1.63,6.33,Mohit Sharma,3.25,2.37,7.76,100,100,0,0,0,0,0,"For units in excess of 15% of the investment, 3% will be charged for redemption within 365 daysFor units in excess of 15% of the investment, 2% will be charged for redemption after 366 days and within 730 daysFor units in excess of 15% of the investment, 1% will be charged for redemption after 731 days and within 1095 days",0,92.3,0,0,7.7,,1.67,13.85,19.96,41.59,11.49,,5.41,3.2733,26.584
Aditya Birla SL CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund Reg (G),Aditya Birla Sun Life Mutual Fund,363,13-10-2022,0.08,0.15,0.26,0.46,1.58,2.85,8.45,8.46,7.94,,,,,,,8.13,0,Debt: Medium to Long Duration,12.7832,8.72,4.06,8.02,1.55,1.13,1.87,Mohit Sharma,2.38,2.22,6.12,500,500,0,0,0,0,0,0,0,100,0,0,0,,0.35,98.09,,,,,1.91,,
Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU Apr 2025 Index Fund (G),Aditya Birla Sun Life Mutual Fund,136,30-03-2022,0,0,0.03,0.29,1.27,2.94,6.66,6.89,6.69,,,,,,,5.68,0,Debt: Short Duration,11.8687,5.4,2.88,5.56,1.51,-0.39,-0.27,Mohit Sharma,0.04,0.04,6.74,500,500,0,0,0,0,0,0,0,100,0,0,0,,0.35,48.03,,,40.49,,9.17,,
Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU Apr 2026 Index Fund Reg (G),Aditya Birla Sun Life Mutual Fund,45,02-12-2022,0.04,0.11,0.26,0.46,1.4,2.98,7.03,7.28,,,,,,,,6.94,0,Debt: Medium to Long Duration,12.2164,,,,,,,Bhupesh Bameta,0.29,0.28,5.88,500,500,0,0,0,0,0,0,0,100,0,0,0,,0.45,64.7,,,30.75,,4.55,,
Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU Apr 2027 Index Fund Reg (G),Aditya Birla Sun Life Mutual Fund,1519,29-03-2022,0.04,0.12,0.28,0.49,1.53,3.15,7.87,7.91,7.48,,,,,,,6.26,0,Debt: Medium Duration,12.4831,5.74,2.69,7.39,0.94,1.2,2.09,Mohit Sharma,1.16,1.12,6.24,500,500,0,0,0,0,0,0,0,100,0,0,0,,0.32,59.51,,,38.43,,2.06,,
Aditya Birla SL CRISIL IBX AAA Financial Services Index-Sep 2027 Fund Reg (G),Aditya Birla Sun Life Mutual Fund,80,13-11-2024,0.05,0.12,0.3,0.48,1.74,3.52,8.49,,,,,,,,,8.22,0,Debt: Medium to Long Duration,10.8525,,,,,,,Harshil Suvarnkar,1.67,1.59,6.94,1000,1000,0,0,0,0,0,0,0,100,0,0,0,,0.44,,,,95.22,,4.78,,
Aditya Birla SL CRISIL IBX AAA NBFC HFC Index-DEC 2025 Fund Reg (G),Aditya Birla Sun Life Mutual Fund,273,15-10-2024,0.05,0.11,0.28,0.51,1.56,3.31,7.41,,,,,,,,,7.37,0,Debt: Low Duration,10.8062,,,,,,,Mohit Sharma,0.08,0.08,6.41,1000,1000,0,0,0,0,0,0,0,100,0,0,0,,0.4,,,,92.85,,7.15,,
Aditya Birla SL CRISIL IBX AAA NBFC HFC Index-Sep 2026 Fund Reg (G),Aditya Birla Sun Life Mutual Fund,222,08-10-2024,0.05,0.14,0.32,0.57,1.65,3.48,7.94,,,,,,,,,7.81,0,Debt: Short Duration,10.8878,,,,,,,Harshil Suvarnkar,0.7,0.69,6.91,1000,1000,0,0,0,0,0,0,0,100,0,0,0,,0.45,,,,97.68,,2.32,,
Aditya Birla SL CRISIL IBX Financial Services 3 to 6 Months Debt Index Fund Reg (G),Aditya Birla Sun Life Mutual Fund,3544,17-12-2024,0.05,0.12,0.29,0.52,1.57,3.27,,,,,,,,,,7.12,0,Debt: Short Duration,10.6673,,,,,,,Harshil Suvarnkar,0.31,0.31,6.42,1000,1000,0,0,0,0,0,0,0,100,0,0,0,,0.36,,,,97.69,,2.31,,
Aditya Birla SL CRISIL IBX Gilt Apr 2028 Index Fund Reg (G),Aditya Birla Sun Life Mutual Fund,21,15-03-2023,0.03,0.04,0.27,0.38,1.45,2.72,7.84,7.79,,,,,,,,7.46,0,Debt: Medium to Long Duration,12.1281,,,,,,,Bhupesh Bameta,2.09,1.94,5.89,500,500,0,0,0,0,0,0,0,100,0,0,0,,0.79,96.31,,,,,3.69,,
Aditya Birla SL CRISIL IBX Gilt Apr 2029 Index Fund Reg (G),Aditya Birla Sun Life Mutual Fund,606,19-10-2022,0.1,-0.01,0.27,0.36,1.73,2.59,8.98,8.78,8.31,,,,,,,8.52,0,Debt: Medium to Long Duration,12.8874,9.81,4.53,8.3,1.8,1.13,1.89,Harshil Suvarnkar,3.44,3.13,6.1,500,500,0,0,0,0,0,0,0,100,0,0,0,,0.37,99.3,,,,,0.7,,
Aditya Birla SL CRISIL IBX Gilt Apr 2033 Index Fund Reg (G),Aditya Birla Sun Life Mutual Fund,70,22-12-2023,0.02,-0.13,0.41,0.12,1.16,1.16,8.37,,,,,,,,,8.63,0,Debt: Medium to Long Duration,11.7091,,,,,,,Bhupesh Bameta,7,5.51,6.65,1000,500,0,0,0,0,0,0,0,100,0,0,0,,0.45,95.65,,,,,4.35,,
Aditya Birla SL CRISIL IBX Gilt April 2026 Index Fund Reg (G),Aditya Birla Sun Life Mutual Fund,224,07-10-2022,0.05,0.12,0.28,0.44,1.36,2.83,6.91,7.18,6.96,,,,,,,7.16,0,Debt: Medium Duration,12.4243,4.3,2.09,6.98,0.88,0.81,1.37,Bhupesh Bameta,0.41,0.4,5.73,500,500,0,0,0,0,0,0,0,100,0,0,0,,0.36,97.52,,,,,2.48,,
Aditya Birla SL CRISIL IBX Gilt June 2027 Index Fund Reg (G),Aditya Birla Sun Life Mutual Fund,12,05-06-2024,0.09,0.14,0.35,0.48,1.5,2.94,7.95,,,,,,,,,7.79,0,Debt: Medium Duration,11.1824,,,,,,,Bhupesh Bameta,1.58,1.48,5.79,1000,500,0,0,0,0,0,0,0,100,0,0,0,,0.56,94.31,,,,,5.69,,
Aditya Birla SL CRISIL IBX SDL Jun 2032 Index Fund Reg (G),Aditya Birla Sun Life Mutual Fund,158,14-02-2023,0.07,0.29,0.6,0.66,0.76,1.11,7.64,8.62,,,,,,,,8.31,0,Debt: Medium Duration,12.4844,,,,,,,Bhupesh Bameta,6.12,4.93,6.97,500,500,0,0,0,0,0,0,0,100,0,0,0,,0.57,94.44,,,,,5.56,,
Aditya Birla SL Crisil-IBX Financial Services 9-12 Months Debt Index Fund (G),Aditya Birla Sun Life Mutual Fund,1006,21-03-2025,0.04,0.11,0.29,0.51,1.56,3.39,,,,,,,,,,7.74,0,Debt: Short Duration,10.5112,,,,,,,Mohit Sharma,0.77,0.76,6.62,0,0,0,0,0,0,0,0,0,100,0,0,0,,0.35,,,,98.17,,1.83,,
Aditya Birla SL Digital India Fund Reg (G),Aditya Birla Sun Life Mutual Fund,4510,15-01-2000,0.62,2.49,1.71,3.35,5.94,3.48,-4.27,9.67,12.99,17.63,19.45,17.25,15.23,14.01,13.11,9.91,0,Equity: Sectoral,174.34,4.3,0.84,13.99,16.63,0.46,0.82,Kunal Sangoi,,,,1000,100,63.77,16.8,17.5,6.23,27.96,1% for redemption within 30 days,94.14,1.93,0,3.93,0,,1.89,,,,,,1.46,13.2681,46.9553
Aditya Birla SL Dividend Yield Fund Reg (G),Aditya Birla Sun Life Mutual Fund,1490,26-02-2003,0.35,1.62,1.22,1.91,5.08,4.09,1.78,15.27,19.34,21.55,16.6,13.01,11.14,13.67,,18.23,0,Equity: Dividend Yield,455.38,3.16,0.99,19.03,14.17,0.9,1.35,Dhaval Gala,,,,1000,100,66.39,12.86,18.02,3.15,17.17,1% for redemption within 90 days,92.96,2.73,0,4.31,0,,2.21,,,,,,2.73,13.1068,44.5196
Aditya Birla SL Dynamic Asset Allocation Omni FOF Reg (G),Aditya Birla Sun Life Mutual Fund,226,09-05-2011,0.35,0.9,0.71,0.99,4.16,5.14,10.56,16.74,16.4,16.15,14.33,12.98,,,,12.43,0,Hybrid: Aggressive,55.2624,2.69,1,15.76,9.76,0.97,1.4,Vinod Bhat,,,,500,100,37.52,16.09,8,0,0,1% for redemption within 365 days,61.61,38.39,0,0,0,,1.07,,,,,37.61,0.78,10.8475,45.5923
Aditya Birla SL Dynamic Bond Fund Reg (G),Aditya Birla Sun Life Mutual Fund,1918,27-09-2004,-0.05,-0.14,0.06,-0.18,1.13,1.01,7.47,8.06,7.55,6.78,6.29,6.24,7.47,7.74,,7.6,4,Debt: Dynamic Bond,47.0695,0.39,1.25,7.52,2.19,0.57,0.82,Bhupesh Bameta,13.35,6.69,7.61,1000,1000,0,0,0,0,0,"For units in excess of 15% of the investment, 0.5% will be charged for redemption within 90 days",0,100,0,0,0,,1.23,35.85,9.81,15.85,35.95,,2.54,5.1646,37.3278
Aditya Birla SL ELSS Tax Saver Fund (ELSS U/S 80C of IT ACT) Reg (G),Aditya Birla Sun Life Mutual Fund,15175,29-03-1996,0.53,1.29,0.43,0.56,4.43,7.03,11.08,17.67,14.75,13.13,11.11,11.66,11.27,,,10.93,1,Equity: ELSS,62.74,-0.54,0.93,14.72,12.43,0.68,1.06,Dhaval Shah,,,,500,500,66.92,11.84,19.99,3.58,23.56,0,98.75,1.25,0,0,0,,1.69,,,,,,1.25,11.8754,42.4899
Aditya Birla SL Equity Hybrid 95 Fund Reg (G),Aditya Birla Sun Life Mutual Fund,7559,10-02-1995,0.39,1.04,0.65,0.75,4.1,4.54,8.52,14.88,13.9,14.51,11.73,11.05,11.07,13.32,14.44,18.14,3,Hybrid: Aggressive,1568.67,-0.02,0.86,13.25,9.54,0.73,1.03,Chanchal Khandelwal,7.45,4.72,7.35,100,100,58.61,9.21,9.18,3.79,25.56,1% for redemption within 90 days,76.99,20.14,0,0,2.87,,1.85,5.31,,4.45,9,0.69,0.65,9.2713,44.249
Aditya Birla SL Equity Savings Fund Reg (G),Aditya Birla Sun Life Mutual Fund,912,28-11-2014,0.18,0.75,0.75,0.89,2.76,4.56,9.5,9.52,9.23,8.89,8.46,8.16,,,,7.72,3,Hybrid: Equity Savings,22.71,0.7,0.38,8.7,3.09,0.79,1.27,Atul Penkar,2.32,1.98,6.15,1000,100,18.6,1.96,2.28,2.45,18.84,0.25% for redemption within 7 days,22.83,73.91,0,0,3.26,,1.04,31.01,,,3.5,20.5,15.78,7.4232,40.866
Aditya Birla SL ESG Integration Strategy Fund Reg (G),Aditya Birla Sun Life Mutual Fund,617,24-12-2020,0.77,1.66,1.21,0.93,6.23,4.96,6.72,16.96,14.71,,,,,,,13.12,0,Equity: Thematic,18.42,-0.92,0.96,13.58,12.86,0.57,0.84,Chanchal Khandelwal,,,,500,100,73.44,17.55,7.6,3.98,26.59,1% for redemption within 30 days,98.59,1.41,0,0,0,,2.45,,,,,,1.33,,
Aditya Birla SL Flexi Cap Fund Reg (G),Aditya Birla Sun Life Mutual Fund,23266,27-08-1998,0.63,1.63,1.14,1.88,6.58,6.53,12.13,19.81,17.71,18.32,15.32,14.82,13.22,15.01,17.17,21.12,3,Equity: Flexi Cap,1881.65,1.53,0.96,17.08,12.74,0.85,1.34,Harish Krishnan,,,,100,100,66.87,18.09,13.98,3.77,26.51,1% for redemption within 90 days,98.94,1.06,0,0,0,,1.66,,,,,,0.7,12.5116,43.7077
Aditya Birla SL Floating Rate Fund Reg (G),Aditya Birla Sun Life Mutual Fund,13126,23-03-2009,0.04,0.22,0.41,0.63,1.75,3.39,7.94,7.92,7.75,6.31,7.05,7.28,8.02,,,7.94,4,Debt: Floater,357.4328,3.08,1.08,7.49,0.45,2.68,5.14,Harshil Suvarnkar,1.89,1.07,6.75,1000,1000,0,0,0,0,0,0,0,100,0,0,0,,0.45,11.76,,,86.22,,2.02,0.656,15.8402
Aditya Birla SL Focused Fund Reg (G),Aditya Birla Sun Life Mutual Fund,7649,24-10-2005,0.57,1.63,1.17,2.2,7.02,5.24,10.06,18.98,16.24,17.19,14.99,13.5,12.9,14.16,,14.35,3,Equity: Focused,147.6863,0.69,0.91,15.81,12.32,0.77,1.43,Kunal Sangoi,,,,1000,100,83.6,11.77,2.07,3.56,23.63,1% for redemption within 90 days,97.44,2.56,0,0,0,,1.81,,,,,,1.99,11.8794,43.9783
Aditya Birla SL Global Emerging Opportunities Fund (G),Aditya Birla Sun Life Mutual Fund,262,17-09-2008,0,-1.95,-2.99,-0.29,2.15,6.69,9.6,18.28,14.1,10.04,12.39,10.67,5,,,6.11,0,Equity: Global,27.9111,,,15.68,12.87,0.73,1.1,Dhaval Joshi,,,,1000,100,99.46,0,0,0,0,0.25% for redemption within 28 days,0,0.54,0,99.46,0,,1.16,,,,,,0.54,14.7716,51.4364
Aditya Birla SL Global Excellence Equity Fund Of Fund Ret (G),Aditya Birla Sun Life Mutual Fund,232,31-12-2007,0,-1.13,-1.3,1.09,4.81,12.27,14,20.28,21.38,13.43,10.13,7.91,9.26,,,7.59,0,Equity: Global,36.9556,,,21.62,12.44,1.23,1.59,Dhaval Joshi,,,,1000,100,98.82,0,0,0,0,0.25% for redemption within 28 days,0,1.18,0,98.82,0,,1.28,,,,,,1.18,11.062,45.2804
Aditya Birla SL Gold Fund Reg (G),Aditya Birla Sun Life Mutual Fund,909,20-03-2012,-1.61,0.05,2.42,-5.95,22.61,31.2,64.86,39.92,30.74,17.86,19.87,16.15,,,,9.72,2,Gold: Gold Funds,35.7145,-0.46,0.94,28.58,12.67,1.76,4.15,Priya Sridhar,,,,1000,100,0,0,0,0,0,1% for redemption within 15 days,0,0,100,0,0,,0.52,,,,,,,,
Aditya Birla SL Government Securities Fund (G),Aditya Birla Sun Life Mutual Fund,1830,11-10-1999,0.02,-0.56,-0.63,-1.7,-0.18,-3.27,3.02,6.08,6.24,4.8,7.1,7.25,8.23,7.27,,8.2,3,Debt: Gilt Fund,79.9513,-1.68,0.97,6.59,3.61,0.09,0.11,Bhupesh Bameta,31.14,11.91,7.36,1000,1000,0,0,0,0,0,0,0,100,0,0,0,,1.14,98.16,,,,,1.84,3.1788,40.9091
Aditya Birla SL Government Securities Fund (G)Instant Gain,Aditya Birla Sun Life Mutual Fund,1830,11-10-1999,0.02,-0.56,-0.63,-1.7,-0.18,-3.27,3.02,6.08,6.24,4.8,7.1,7.25,8.23,7.27,,6.75,3,Debt: Gilt Fund,79.9513,-1.68,0.97,6.59,3.61,0.09,0.11,Bhupesh Bameta,31.14,11.91,7.36,1000,500,0,0,0,0,0,0,0,100,0,0,0,,1.14,98.16,,,,,1.84,3.1853,40.9405
Aditya Birla SL Income Fund Reg (G),Aditya Birla Sun Life Mutual Fund,2115,21-10-1995,0.03,-0.2,-0.03,-0.47,0.69,-0.03,5.74,7.05,6.77,5.36,7.23,6.89,7.49,7.69,7.98,9.02,3,Debt: Medium to Long Duration,126.3893,-0.3,1.36,6.9,2.31,0.28,0.36,Bhupesh Bameta,14.85,6.91,7.06,1000,1000,0,0,0,0,0,0,0,100,0,0,0,,1.12,51.65,,,42.49,,5.86,3.0286,41.8733
Aditya Birla SL Income plus Arbitrage Active FOF (G),Aditya Birla Sun Life Mutual Fund,1274,29-12-2006,0.01,0.08,0.27,0.28,1.48,2.65,7.75,7.76,7.41,5.96,6.87,6.85,7.4,,,7.35,0,Debt: Dynamic Bond,38.2986,,,7.23,1.16,0.82,1.3,Harshil Suvarnkar,7.77,4.75,6.91,100,100,0,0,0,0,0,0,0,100,0,0,0,,0.42,,,,,99.67,0.33,1.8935,29.8898
Aditya Birla SL Infrastructure Fund Reg (G),Aditya Birla Sun Life Mutual Fund,1162,17-03-2006,0.65,1.59,-0.05,1.63,3.55,5.88,5.33,18.4,23.5,27.77,18.01,14.57,11.58,,,12.26,2,Equity: Sectoral,97.25,3,0.58,22.78,16.32,1.01,1.32,Jonas Bhutta,,,,1000,100,46.32,13.74,36.47,3.78,28.16,1% for redemption within 30 days,96.53,3.47,0,0,0,,2.27,,,,,,2.82,14.6251,41.9486
