Scheme_Code,Scheme_Name,Fund_House,Scheme_Type,Scheme_Category,Status,Portfolio_Ind,URL,Expense,AUM,CrisilRank,FundManagers,Exit_Load,Age,3M Ret,1Y Ret,3Y Ret,5Y Ret,Ret Inception,Sharpe Ratio,Sortino Ratio,Info Ratio,Beta,Alpha,R-Squared,Pos_Year%,Year,Inception_Date,Volatility,Rel_MaxDD,Roll_Ret_1Y,Roll_Ret_3Y,Roll_Ret_Inception,Prob_10Pct,Sharpe_1Y,Sortino_1Y,Volatility_1Y,NumStocks,Top5_Pct,Top10_Pct,Top3_Sector,Equity_Holding,F&O_Holding,Foreign_Holding,NumDebts,Modified_Duration,YTM,LCap_Pct,MCap_Pct,SCap_Pct,GT_1PCT,GT_3PCT,GT_5PCT,LT_NEG_1PCT,LT_NEG_3PCT,LT_NEG_5PCT,POS_PCT,GT_NIFTY_UP,GT_NIFTY_DOWN,NIFTY_CORR,PCT_GT_NIFTY
148416,Mirae Asset Banking and PSU Debt Fund Regular Growth Plan,Mirae Asset,Debt Scheme,Banking and PSU Fund,N,,https://www.moneycontrol.com/mutual-funds/nav/mirae-asset-banking-and-psu-debt-fund-regular-plan-growth/MMA191,0.83%,81.59,3 Stars,Basant Bafna,Data not available.,3.36,4.04,5.92,3.93,,4.24,-1.91,-2.28,-0.04,0.01,0.04,0.01,100.00,2020,2020-07-27,0.93,0.06362089923023549,4.86,,,,0.2,0.28,0.82,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,67.98,3.32,98.9,0.06690448655097479,45.89
134545,Nippon India Banking & PSU Debt Fund,Nippon India,Debt Scheme,Banking and PSU Fund,N,,https://www.moneycontrol.com/mutual-funds/nav/nippon-india-banking-psu-debt-fund-regular-plan-growth/MRC1857,0.74%,5302.01,3 Stars,Kinjal Desai|Vivek Sharma|Pranay Sinha|Akshay Sharma,Data not available.,8.56,4.88,6.46,4.43,7.07,7.66,-1.27,-1.54,-0.04,0.01,0.04,0.01,100.00,2015,2015-05-18,1.01,0.06758677571006977,5.26,5.19,7.63,0.09397519076784733,0.93,1.37,0.75,,,,,,,,,,,,,,0.07,0.0,0.0,0.0,0.0,0.0,69.35,3.98,97.85,0.14186185612714505,46.75
125498,SBI BANKING & PSU FUND,SBI,Debt Scheme,Banking and PSU Fund,N,,https://www.moneycontrol.com/mutual-funds/nav/sbi-banking-and-psu-fund-regular-plan-growth/MSA014,0.81%,4446.78,2 Stars,Rajeev Radhakrishnan|Mohit Jain,Data not available.,10.05,4.88,6.3,3.85,6.41,7.63,-1.94,-2.25,-0.04,0.0,0.04,0.0,100.00,2013,2013-11-18,0.97,0.09154442790812573,4.96,4.59,7.54,0.043787254807399756,0.69,1.02,0.75,,,,,,,,,,,,,,0.07,0.0,0.0,0.0,0.0,0.0,72.36,3.98,98.62,0.1251485312425884,47.1
100784,Sundaram Banking & PSU Debt Fund,Sundaram,Debt Scheme,Banking and PSU Fund,N,,https://www.moneycontrol.com/mutual-funds/nav/sundaram-banking-psu-debt-fund-institutional-growth/MSN070,0.39%,356.69,2 Stars,Dwijendra Srivastava|Sandeep Agarwal,Data not available.,17.68,5.48,6.47,4.1,6.09,7.73,-1.79,-2.14,-0.04,0.01,0.04,0.01,100.00,2006,2006-04-03,0.9,0.08810280332677944,5.14,4.22,7.8,0.013134145691021115,0.92,1.41,0.73,,,,,,,,,,,,,,0.07,0.0,0.0,0.0,0.0,0.0,75.21,3.09,98.62,0.13928956249839483,46.64
147635,Tata Banking & PSU Debt Fund,Tata,Debt Scheme,Banking and PSU Fund,N,,https://www.moneycontrol.com/mutual-funds/nav/tata-banking-psu-debt-fund-regular-plan-growth/MTA1355,0.72%,238.25,3 Stars,Amit Somani,Data not available.,4.15,5.04,6.38,4.17,,6.16,-1.44,-1.69,-0.04,0.0,0.04,0.0,100.00,2019,2019-10-11,1.06,0.10679277633325127,5.02,5.04,5.49,,0.94,1.36,0.69,,,,,,,,,,,,,,0.1,0.1,0.0,0.0,0.0,0.0,71.74,2.88,98.44,0.14387369000374156,45.67
148655,TRUSTMF BANKING & PSU DEBT FUND,Trust,Debt Scheme,Banking and PSU Fund,N,,https://www.moneycontrol.com/mutual-funds/nav/trustmf-banking-psu-debt-fund-growth/MTR001,0.71%,296.69,2 Stars,Anand Nevatia,Data not available.,2.84,5.76,6.45,,,4.64,,,-0.03,0.01,0.04,0.02,100.00,2021,2021-02-02,,0.11938605619561649,4.52,,,,1.28,2.06,0.52,,,,,,,,,,,,,,0.0,0.0,0.0,0.15,0.0,0.0,71.39,3.55,98.43,0.13561612708587303,47.74
126939,UTI Banking & PSU Debt Fund,UTI,Debt Scheme,Banking and PSU Fund,N,,https://www.moneycontrol.com/mutual-funds/nav/uti-banking-psu-debt-fund-growth/MUT1087,0.57%,959.55,4 Stars,Anurag Mittal,Data not available.,9.83,4.96,6.2,6.35,5.51,7.29,0.18,0.76,-0.03,-0.01,0.07,0.0,90.00,2014,2014-02-06,3.8,0.0675109859594173,8.51,6.87,7.22,0.2081475891644251,0.39,0.58,1.07,,,,,,,,,,,,,,0.14,0.07,0.07,0.21,0.07,0.07,71.38,3.86,96.93,0.037859876014451996,46.26
103178,Aditya Birla Sun Life Corporate Bond Fund,Aditya Birla,Debt Scheme,Corporate Bond Fund,N,,https://www.moneycontrol.com/mutual-funds/nav/aditya-birla-sun-life-corporate-bond-fund-regular-plan-growth/MAC003,0.5%,17915.33,Not Rated,Dhaval Joshi|Kaustubh Gupta,Data not available.,17.68,5.32,6.91,5.0,7.35,8.72,-0.76,-0.92,-0.04,0.0,0.05,0.01,94.44,2006,2006-04-03,0.97,0.07306423413126763,5.95,5.85,8.82,0.34152506861888887,1.5,2.13,0.74,,,,,,,,,,,,,,0.07,0.0,0.0,0.0,0.0,0.0,74.53,3.21,98.92,0.13292871409523024,46.82
141593,Axis Corporate Debt Fund,Axis,Debt Scheme,Corporate Bond Fund,N,,https://www.moneycontrol.com/mutual-funds/nav/axis-corporate-debt-fund-growth/MAA723,0.94%,4948.13,4 Stars,Hardik Shah|Devang Shah,Data not available.,6.39,4.96,6.42,4.57,6.37,6.81,-1.36,-1.66,-0.04,0.01,0.05,0.01,100.00,2017,2017-07-18,0.84,0.056169092783873595,5.47,5.52,6.88,0.08840389206160437,0.91,1.32,0.71,,,,,,,,,,,,,,0.07,0.0,0.0,0.07,0.07,0.0,73.2,3.47,98.77,0.10033652611928828,46.89
135914,BANDHAN Corporate Bond Fund,Bandhan,Debt Scheme,Corporate Bond Fund,N,,https://www.moneycontrol.com/mutual-funds/nav/bandhan-corporate-bond-fund-regular-plan-growth/MAG1718,0.61%,14173.8,3 Stars,Suyash Choudhary|Gautam Kaul,Data not available.,7.9,6.28,6.77,4.27,6.64,7.29,-1.39,-1.65,-0.04,0.01,0.04,0.01,100.00,2016,2016-01-13,1.03,0.09352822668051908,4.86,5.13,7.03,0.05611657148414784,2.9,6.27,0.35,,,,,,,,,,,,,,0.07,0.07,0.0,0.0,0.0,0.0,75.86,3.6,98.62,0.13511964138425406,46.89
150235,BARODA BNP PARIBAS Corporate Bond Fund,Baroda BNP Paribas,Debt Scheme,Corporate Bond Fund,N,,https://www.moneycontrol.com/mutual-funds/nav/baroda-bnp-paribas-corporate-bond-fund-regular-plan-growth/MAB498,0.58%,141.96,2 Stars,Mayank Prakash|Shreekiran Rao,Data not available.,1.73,4.48,6.66,,,4.61,,,-0.02,0.02,0.04,0.02,100.00,2022,2022-03-14,,0.13156636424839446,,,,,0.96,1.4,0.9,,,,,,,,,,,,,,0.0,0.0,0.0,0.24,0.0,0.0,70.1,4.5,96.94,0.1751901384472305,47.85
126687,CANARA ROBECO CORPORATE BOND FUND,Canara Robeco,Debt Scheme,Corporate Bond Fund,N,,https://www.moneycontrol.com/mutual-funds/nav/canara-robeco-corporate-bond-fund-regular-plan-growth/MCA260,1.03%,170.22,2 Stars,Suman Prasad|Avnish Jain,Data not available.,9.82,4.8,5.76,3.79,6.16,7.28,-2.25,-2.63,-0.04,0.0,0.04,0.0,100.00,2014,2014-02-10,0.85,0.06905513100644664,4.66,4.43,7.07,0.016869033569565484,0.01,0.01,0.62,,,,,,,,,,,,,,0.07,0.0,0.0,0.0,0.0,0.0,70.96,3.86,98.46,0.10710507999808266,46.96
144644,DSP Corporate Bond Fund,DSP,Debt Scheme,Corporate Bond Fund,N,,https://www.moneycontrol.com/mutual-funds/nav/dsp-corporate-bond-fund-regular-plan-growth/MDS1475,0.5%,2549.36,1 Star,Vivek Ramakrishnan|Laukik Bagwe,Data not available.,5.24,5.0,6.01,3.78,6.49,7.07,-1.27,-1.46,-0.04,0.01,0.04,0.01,100.00,2018,2018-09-11,1.52,0.1857704397205082,4.83,4.34,6.47,,0.22,0.31,0.91,,,,,,,,,,,,,,0.08,0.0,0.0,0.08,0.0,0.0,72.96,3.8,98.78,0.14283261901858305,47.18
100528,Franklin India Corporate Debt Fund,Franklin,Debt Scheme,Corporate Bond Fund,N,,https://www.moneycontrol.com/mutual-funds/nav/franklin-india-corporate-debt-fund-plan-a-growth/MKP009,0.74%,800.67,3 Stars,Rahul Goswami|Sachin Padwal-Desai,Data not available.,17.68,5.68,6.33,4.41,6.53,7.95,-1.65,-2.0,-0.04,0.0,0.04,0.01,100.00,2006,2006-04-03,0.8,0.051786138071095354,5.05,5.02,8.12,0.21478842311086077,0.98,1.59,0.55,,,,,,,,,,,,,,0.14,0.0,0.0,0.0,0.0,0.0,72.92,3.98,98.31,0.10395266113948423,46.96
113070,HDFC Corporate Bond Fund,HDFC,Debt Scheme,Corporate Bond Fund,N,Y,https://www.moneycontrol.com/mutual-funds/nav/hdfc-corporate-bond-fund-growth/MHD686,0.6%,26855.08,3 Stars,Anupam Joshi,Data not available.,13.44,5.08,6.91,4.72,7.3,8.51,-0.85,-1.02,-0.04,0.01,0.05,0.01,100.00,2010,2010-06-29,1.17,0.08793235217952554,5.69,5.53,8.63,0.21420730254401743,1.57,2.37,0.7,,,,,0.0,0.0,0.0,186,2.75,7.83,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,71.03,4.5,98.31,0.11047009582133124,47.24
150992,HSBC Corporate Bond Fund,HSBC,Debt Scheme,Corporate Bond Fund,N,,https://www.moneycontrol.com/mutual-funds/nav/hsbc-corporate-bond-fund-growth/MCC002,0.63%,6654.89,3 Stars,Shriram Ramanathan|Jalpan Shah,HSBC Corporate Bond Fund - Growth charges 0.5% of sell value; if fund sold before 90 days. There are no other charges.,1.02,4.36,5.99,,,6.21,,,-0.01,0.0,0.06,0.0,100.00,2022,2022-11-28,,0.04948805244522175,,,,,0.19,0.27,1.13,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,70.85,6.57,96.36,0.14729816556107264,46.56
111987,ICICI Prudential Corporate Bond Fund,ICICI Prudential,Debt Scheme,Corporate Bond Fund,N,Y,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-corporate-bond-fund-growth/MPI670,0.53%,23379.83,Not Rated,Rohit Lakhotia|Anuj Tagra,Data not available.,14.32,5.92,7.33,5.27,7.29,7.37,-0.52,-0.67,-0.04,0.0,0.05,0.0,93.33,2009,2009-08-12,0.86,0.037553373249474484,6.43,5.82,7.49,0.14171418689079973,2.65,4.36,0.58,,,,,0.0,0.0,0.0,152,1.78,7.95,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,74.46,3.73,98.62,0.12840065271439793,46.96
106177,Invesco India Corporate Bond Fund,Invesco,Debt Scheme,Corporate Bond Fund,N,,https://www.moneycontrol.com/mutual-funds/nav/invesco-india-corporate-bond-fund-growth/MLI107,0.66%,2538.23,Not Rated,Krishna Cheemalapati|Vikas Garg,Data not available.,16.35,5.04,6.3,4.13,6.8,6.78,-1.66,-1.96,-0.04,0.01,0.04,0.01,94.12,2007,2007-08-03,0.96,0.08014903201256962,4.99,4.82,6.91,0.17816309785091966,0.74,1.07,0.69,,,,,,,,,,,,,,0.07,0.0,0.0,0.0,0.0,0.0,70.96,4.24,98.31,0.12586574554110208,47.1
133782,Kotak Corporate Bond Fund,Kotak,Debt Scheme,Corporate Bond Fund,N,,https://www.moneycontrol.com/mutual-funds/nav/kotak-corporate-bond-fund-growth/MAI035,0.67%,10717.87,3 Stars,Manu Sharma|Deepak Agrawal|Palha Khanna,Data not available.,8.84,5.28,6.5,4.63,6.7,7.49,-1.18,-1.42,-0.04,0.01,0.05,0.01,100.00,2015,2015-02-02,0.93,0.06436677283330758,5.45,5.21,7.51,0.045144276799993666,0.94,1.39,0.75,,,,,,,,,,,,,,0.14,0.0,0.0,0.07,0.0,0.0,76.0,3.21,98.92,0.0987541677023096,46.82
148757,Mirae Asset Corporate Bond Fund Regular Growth,Mirae Asset,Debt Scheme,Corporate Bond Fund,N,,https://www.moneycontrol.com/mutual-funds/nav/mirae-asset-corporate-bond-fund-regular-plan-growth/MMA213,0.91%,60.25,3 Stars,Basant Bafna|Mahendra Jajoo,Data not available.,2.72,4.08,5.91,,,4.61,,,-0.03,0.01,0.04,0.02,100.00,2021,2021-03-18,,0.08625024385509678,4.89,,,,0.19,0.27,0.84,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,70.08,3.42,98.36,0.17191372809026798,47.48
100856,Nippon India Corporate Bond Fund,Nippon India,Debt Scheme,Corporate Bond Fund,N,,https://www.moneycontrol.com/mutual-funds/nav/nippon-india-corporate-bond-fund-growth/MRC010,0.67%,2458.21,Not Rated,Kinjal Desai|Vivek Sharma|Akshay Sharma,Data not available.,17.68,5.04,6.82,5.27,6.69,7.79,-0.52,-0.64,-0.04,0.01,0.05,0.01,100.00,2006,2006-04-03,0.86,0.0554763349078845,6.09,5.83,7.87,0.008349737108066857,1.38,2.13,0.74,,,,,,,,,,,,,,0.07,0.0,0.0,0.0,0.0,0.0,78.38,3.86,98.92,0.08973168378750243,47.17
138318,PGIM India Corporate Bond Fund,PGIM India,Debt Scheme,Corporate Bond Fund,N,,https://www.moneycontrol.com/mutual-funds/nav/pgim-india-corporate-bond-fund-growth/MDE007,1.03%,119.85,Not Rated,Puneet Pal|Bhupesh Kalyani,Data not available.,7.75,4.72,6.18,4.36,6.35,6.52,-1.69,-2.08,-0.04,0.01,0.04,0.01,100.00,2016,2016-03-08,0.81,0.04418309728918208,4.89,5.05,6.24,0.010534423325262554,0.56,0.85,0.71,,,,,,,,,,,,,,0.07,0.0,0.0,0.0,0.0,0.0,71.73,3.6,98.16,0.1272455501501673,46.68
146207,SBI Corporate Bond Fund,SBI,Debt Scheme,Corporate Bond Fund,N,,https://www.moneycontrol.com/mutual-funds/nav/sbi-corporate-bond-fund-regular-plan-growth/MSB1489,0.8%,19188.57,1 Star,Rajeev Radhakrishnan|Mohit Jain,Data not available.,4.82,5.0,6.33,4.12,,6.89,-1.79,-2.13,-0.05,0.0,0.04,0.0,100.00,2019,2019-02-08,0.88,0.09485092500874376,5.17,4.83,6.31,,0.79,1.16,0.72,,,,,,,,,,,,,,0.09,0.0,0.0,0.0,0.0,0.0,70.68,3.64,98.68,0.13200757229465554,47.03
100789,Sundaram Corporate Bond Fund Regular Plan,Sundaram,Debt Scheme,Corporate Bond Fund,N,,https://www.moneycontrol.com/mutual-funds/nav/sundaram-corporate-bond-fund-growth/MSN074,0.51%,808.66,4 Stars,Dwijendra Srivastava|Sandeep Agarwal,Data not available.,17.68,5.08,6.05,4.32,7.16,7.37,-1.8,-2.14,-0.04,0.0,0.04,0.0,94.44,2006,2006-04-03,0.78,0.06415583248734323,5.08,5.15,7.47,0.16618562953108884,0.43,0.56,0.62,,,,,,,,,,,,,,0.07,0.0,0.0,0.0,0.0,0.0,71.57,3.86,98.0,0.12919206223917212,46.78
149351,Tata Corporate Bond Fund,Tata,Debt Scheme,Corporate Bond Fund,N,,https://www.moneycontrol.com/mutual-funds/nav/tata-corporate-bond-fund-regular-plan-growth/MTA1383,0.88%,659.67,Not Rated,Abhishek Sonthalia,Data not available.,1.99,4.96,6.62,,,4.51,,,-0.01,0.01,0.04,0.02,100.00,2021,2021-12-07,,0.10842199681798913,,,,,1.32,1.89,0.69,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,70.04,3.54,100.0,0.15974505057391072,49.38
151322,TRUSTMF CORPORATE BOND FUND,Trust,Debt Scheme,Corporate Bond Fund,N,,https://www.moneycontrol.com/mutual-funds/nav/trustmf-corporate-bond-fund-regular-plan-growth/MTR037,0.65%,130.41,Not Rated,Anand Nevatia,Data not available.,0.87,4.68,5.43,,,6.65,,,-0.04,-0.0,0.06,0.0,100.00,2023,2023-01-23,,0.05341826239503255,,,,,0.73,1.03,0.85,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,75.36,3.39,97.75,0.050021119497775435,43.96
143239,Union Corporate Bond Fund,Union,Debt Scheme,Corporate Bond Fund,N,,https://www.moneycontrol.com/mutual-funds/nav/union-corporate-bond-fund-growth/MUK116,0.69%,444.15,2 Stars,Anindya Sarkar|Shrenuj Parekh|Parijat Agarwal,Union Corporate Bond Fund - Growth charges 1.0% of sell value; if fund sold before 15 days. There are no other charges.,5.52,4.68,6.06,3.72,5.32,5.7,-1.76,-2.02,-0.04,0.01,0.04,0.01,100.00,2018,2018-06-01,1.13,0.10698050985727477,4.58,4.58,5.58,,0.38,0.52,0.73,,,,,,,,,,,,,,0.15,0.0,0.0,0.08,0.08,0.08,70.58,3.6,98.18,0.07952656739848471,46.73
